iter	RMSE
0	0.2830116626
1	0.2814359568
2	0.2798241238
3	0.2781334829
4	0.2763219477
5	0.2746086551
6	0.2730667717
7	0.2716835973
8	0.2702193888
9	0.2687717178
10	0.2673505746
11	0.2659856265
12	0.2647652379
13	0.2635651431
14	0.2622615959
15	0.2610446404
16	0.2599113427
17	0.2587077839
18	0.2575740465
19	0.2565589617
20	0.2556124448
21	0.2547909195
22	0.2536932766
23	0.2528021187
24	0.2517646145
25	0.2506829632
26	0.2499236766
27	0.2492363873
28	0.248606685
29	0.247841288
30	0.2468548235
31	0.2460598898
32	0.2454634381
33	0.2446433344
34	0.2440324206
35	0.2432734756
36	0.242643296
37	0.2418061658
38	0.2409757766
39	0.24039062
40	0.2397148957
41	0.2390998241
42	0.2388491801
43	0.2380595991
44	0.237755139
45	0.2374413776
46	0.2368002451
47	0.2362073134
48	0.2355112357
49	0.2352739696
50	0.2351223979
51	0.2347676853
52	0.2346004488
53	0.2339212124
54	0.2337788736
55	0.2333835926
56	0.2329788331
57	0.2326972902
58	0.2322429511
59	0.2315897747
60	0.2309465945
61	0.230678393
62	0.2300798072
63	0.229934844
64	0.2294582347
65	0.2291455189
66	0.2285050896
67	0.228087639
68	0.227596884
69	0.2270670964
70	0.2268085723
71	0.2266714568
72	0.2264111144
73	0.2262929686
74	0.2260579634
75	0.2259380087
76	0.2257303853
77	0.2252245869
78	0.2247577876
79	0.2242774267
80	0.2239014596
81	0.2236726079
82	0.2233970708
83	0.2228622364
84	0.2225146015
85	0.221933552
86	0.2215685209
87	0.2211778001
88	0.2208176932
89	0.2204053489
90	0.2200476748
91	0.2198015554
92	0.2193820194
93	0.2190366484
94	0.2188043683
95	0.2186154905
96	0.2182206146
97	0.2180581381
98	0.2178151147
99	0.2174498002
100	0.2171871376
101	0.2170966881
102	0.2167997497
103	0.2167119154
104	0.2164959993
105	0.2160815792
106	0.2158198893
107	0.2154727633
108	0.2150823538
109	0.2149065573
110	0.2147546209
111	0.2145779867
112	0.2142976203
113	0.214055796
114	0.2137436604
115	0.2135315105
116	0.2133821597
117	0.2131799218
118	0.212939736
119	0.2128518777
120	0.2125390899
121	0.212462812
