iter	Passed	Remaining
0	64	64252
1	70	34984
2	77	25908
3	86	21530
4	93	18534
5	98	16382
6	104	14885
7	109	13570
8	111	12281
9	113	11209
10	115	10423
11	117	9666
12	120	9112
13	124	8747
14	127	8391
15	129	7933
16	130	7568
17	138	7567
18	140	7241
19	142	6995
20	146	6824
21	147	6558
22	154	6580
23	157	6420
24	159	6211
25	162	6089
26	169	6091
27	173	6022
28	174	5855
29	178	5782
30	182	5696
31	187	5668
32	192	5651
33	200	5693
34	204	5636
35	206	5524
36	213	5560
37	217	5508
38	224	5532
39	229	5504
40	235	5509
41	237	5419
42	241	5372
43	247	5373
44	251	5346
45	255	5294
46	258	5232
47	264	5237
48	267	5191
49	270	5135
50	272	5070
51	278	5075
52	282	5048
53	286	5017
54	289	4969
55	293	4954
56	296	4909
57	303	4930
58	306	4893
59	310	4857
60	313	4825
61	316	4791
62	318	4741
63	321	4698
64	323	4652
65	326	4622
66	330	4604
67	333	4567
68	337	4548
69	339	4509
70	342	4486
71	346	4468
72	351	4463
73	353	4428
74	356	4400
75	358	4363
76	360	4326
77	365	4320
78	370	4316
79	373	4290
80	375	4260
81	381	4269
82	388	4286
83	391	4269
84	396	4264
85	400	4259
86	403	4231
87	405	4205
88	408	4186
89	411	4163
90	416	4155
91	418	4130
92	422	4115
93	424	4095
94	427	4072
95	430	4058
96	434	4041
97	437	4030
98	441	4015
99	444	4002
100	447	3984
101	450	3965
102	455	3966
103	459	3956
104	462	3938
105	465	3928
106	471	3936
107	474	3917
108	478	3909
109	482	3905
110	487	3900
111	489	3881
112	491	3859
113	497	3863
114	501	3862
115	507	3866
116	510	3854
117	514	3847
118	520	3855
119	526	3858
120	530	3855
121	533	3836
122	537	3829
123	539	3808
124	541	3789
125	545	3785
126	552	3795
127	557	3799
128	561	3789
129	567	3800
130	571	3789
131	573	3773
132	576	3756
133	581	3757
134	585	3754
135	589	3744
136	592	3730
137	599	3746
138	608	3766
139	611	3753
140	616	3755
141	619	3743
142	623	3736
143	628	3738
144	632	3728
145	635	3718
146	639	3709
147	644	3707
148	646	3695
149	649	3678
150	651	3663
151	654	3652
152	657	3640
153	659	3624
154	662	3610
155	665	3598
156	669	3593
157	671	3580
158	674	3565
159	677	3555
160	679	3542
161	682	3530
162	684	3515
163	687	3505
164	691	3497
165	694	3487
166	696	3476
167	700	3470
168	704	3465
169	708	3457
170	712	3452
171	715	3442
172	718	3434
173	720	3421
174	725	3421
175	730	3418
176	733	3411
177	736	3401
178	740	3397
179	743	3387
180	747	3382
181	751	3377
182	754	3366
183	758	3362
184	761	3355
185	764	3346
186	771	3353
187	774	3345
188	777	3334
189	779	3323
190	783	3320
191	787	3316
192	790	3304
193	794	3302
194	798	3297
195	801	3287
196	803	3275
197	806	3267
198	808	3255
199	811	3244
200	814	3237
201	817	3230
202	820	3219
203	823	3214
204	827	3208
205	831	3204
206	833	3193
207	836	3184
208	838	3172
209	842	3167
210	848	3173
211	851	3166
212	855	3162
213	858	3153
214	861	3144
215	864	3136
216	867	3129
217	869	3120
218	874	3118
219	879	3118
220	883	3115
221	886	3106
